Q946,Donald Tusk
Q12983,Herman Van Rompuy
Q17496469,João Teixeira Lopes
Q65174706,Paulo de Almeida Sande
Q47539817,Carlos Pereira
Q27093788,Edgar Correia
Q10365301,Rui Nabeiro
Q10329776,Miguel Frasquilho
Q66713687,Paulo Neves
Q4723726,Alfredo Bruto da Costa
Q10310170,José Moura Soeiro
Q543349,Manuel António Pina
Q1253,Ban Ki-moon
Q4681974,Adelino Amaro da Costa
Q10309889,José Manuel Pureza
Q21600813,Eduardo Cabrita
Q23905015,Joana Mortágua
Q10334416,Mário David
Q5511406,Fátima Felgueiras
Q10309880,José Manuel Fernandes
Q10272128,Elza Pais
Q10298152,Honório Novo
Q9601813,Alexandre Alves
Q206147,Zita Seabra
Q3540630,Henrique Medina Carreira
Q180801,Isabel Pires de Lima
Q52161254,Margarida Balseiro Lopes
Q61944361,Álvaro Amaro
Q30934473,António Carlos Monteiro
Q368644,Gonçalo Ribeiro Telles
Q15833722,Manuel Seabra
Q72618895,Maria Begonha
Q16489803,Amílcar Theias
Q65499244,Manuel Meirinho Martins
Q48856511,Jaime Ramos
Q60999934,Lucília Gago
Q10303368,Inácio Peres Fernandes
Q5041861,Carlos Alfredo de Brito
Q714076,Carlos Coelho
Q3286873,Manuel Lobo Antunes
Q722614,João de Deus Pinheiro
Q101537534,Pedro Cegonho
Q10284941,Francisco Luís Murteira Nabo
Q9169371,Bernardino Soares
Q10308703,Ribau Esteves
Q235992,Sophia de Mello Breyner Andresen
Q3060511,Eurico de Melo
Q11764393,Luís Marinho
Q4777606,António Rosa Mendes
Q10324087,Manuel Dias Loureiro
Q30930777,Graça Fonseca
Q364934,Alberto Costa
Q968223,Vasco Cordeiro
Q17496473,José Gusmão
Q5279222,Diogo Vasconcelos
Q9159871,Arlindo Cunha
Q16337835,Manuel António Correia
Q6526652,Leonor Beleza
Q6123866,Jaime Nogueira Pinto
Q9268064,Gilberto Madaíl
Q26256253,José Lino Tranquada Gomes
Q3556927,Vicente Jorge Silva
Q5310427,Duarte Freitas
Q21290358,Margarida Mano
Q23800376,João Pedro Matos Fernandes
Q17420882,Margarida Salema
Q18564749,Anabela Rodrigues
Q10309895,José Manuel Sérvulo Correia
Q17420661,José Apolinário
Q10334505,Mário Patinha Antão
Q3186526,José Pinto Coelho
Q9619988,António Pinto Leite
Q20974230,Ana Paula Zacarias
Q481124,Ernâni Lopes
Q22252746,Maria Manuel Leitão Marques
Q10310204,José Niza
Q88196412,António Vieira Monteiro
Q1378001,Fausto de Sousa Correia
Q10321558,Luís Menezes
Q3290963,Maria João Rodrigues
Q2073164,José Barata-Moura
Q10303811,Isabel Mota
Q11708836,Helena Torres Marques
Q17420886,Manuel dos Santos Machado
Q10346704,Paulo Mendo
Q10346748,Paulo Pitta e Cunha
Q47539921,João Oliveira
Q10324724,Manuela Arcanjo
Q18708029,Luís Duque
Q17285265,José Magalhães
Q10363320,Roberto Carneiro
Q10365313,Rui Pena
Q10300977,Igrejas Caeiro
Q9619105,António Filipe
Q10357633,Raul Rêgo
Q16494439,Artur Santos Silva
Q10347324,Pedro Pinto
Q10308196,Jorge Neto
Q85179710,Olavo Câmara
Q101441727,José Manuel Bolieiro
Q10310517,José Silveira Godinho
Q17420667,Maria Belo
Q4681977,José Adelino Maltez
Q22958314,Domingos Abrantes
Q15105537,Ricardo Rio
Q10328972,Mesquita Machado
Q25420666,Emanuel Rodrigues
Q30934717,Álvaro Castello-Branco
Q10329729,Miguel Beleza
Q9158198,António Reis
Q208355,Joaquim Chissano
Q9185480,Cecília Meireles
Q85853594,Horácio de Carvalho Flores
Q16337640,João Pinho de Almeida
Q1339831,Emídio Guerreiro
Q20045850,Ireneu Cabral Barreto
Q65499243,Joana Barata Lopes
Q17420864,Manuel Porto
Q9619601,António Macedo
Q22958361,Paulo Pinto de Albuquerque
Q10272634,Emílio Rui Vilar
Q3179722,Joaquim Ferreira do Amaral
Q16491360,António Carrapatoso
Q4777590,António Horta Osório
Q10321431,Luís Filipe Castro Mendes
Q16855282,Miguel Mendonça
Q312831,Eduardo Souto de Moura
Q11665,José Ramos-Horta
Q10334395,Mário Cal Brandão
Q65031560,José Gomes Palmeiro da Costa
Q10338221,Nuno Miguel Henriques
Q26256214,Cláudio Monteiro
Q10281519,Fernando Santos Martins
Q39659,Jacques Santer
Q10346590,Paulo Freitas do Amaral
Q235916,Maria de Lourdes Pintasilgo
Q65161985,Luís António Pita Ameixa
Q10321579,Luís Nazaré
Q4720890,Alexandre Quintanilha
Q3420579,Raya Haffar El Hassan
Q11728561,José Cesário
Q47537702,Vitorino Silva
Q10310636,José Vieira de Carvalho
Q48879362,Casimiro Francisco Ramos
Q10318815,Lino de Carvalho
Q388965,Carlos Mota Pinto
Q377683,Narana Coissoró
Q85712941,Pedro Baptista
Q64523123,Sara Cerdas
Q3745041,Filipe Soares Franco
Q1671880,Inês Zuber
Q17270836,Miguel Viegas
Q9620073,António Ribeiro Cristóvão
Q736289,Ernesto Melo Antunes
Q17420848,Virgílio Pereira
Q57392,Armando Guebuza
Q1389840,José Luis da Cruz Vilaça
Q7702196,Teresa Patrício Gouveia
Q3038797,Teresa Caeiro
Q3179729,Joaquim Magalhães Mota
